series,platform,topology,workload,trial,sessions,chunk_bytes,bytes,wall_ms,throughput_mib_s,broker_cpu_ms,broker_cpu_per_gib_ms,broker_rss_bytes,broker_context_switches,p50_us,p99_us,graceful_teardown
confirmation,windows,current,stdout,5,16,8192,1073741824,1849.964,553.524,4468.750,4468.750,8224768,NA,0,0,true
confirmation,windows,tuned-64k,stdout,1,16,8192,1073741824,1655.404,618.580,3671.875,3671.875,11436032,NA,0,0,true
confirmation,windows,tuned-64k,stdout,2,16,8192,1073741824,2180.209,469.680,3375.000,3375.000,11804672,NA,0,0,true
confirmation,windows,tuned-64k,stdout,3,16,8192,1073741824,1587.343,645.103,3375.000,3375.000,11685888,NA,0,0,true
confirmation,windows,tuned-64k,stdout,4,16,8192,1073741824,1520.177,673.606,3765.625,3765.625,11513856,NA,0,0,true
confirmation,windows,tuned-64k,stdout,5,16,8192,1073741824,1534.401,667.361,3687.500,3687.500,12107776,NA,0,0,true
confirmation,windows,current,ping-pong,1,16,8192,67108864,139.193,459.794,265.625,4250.000,8581120,NA,507,903,true
confirmation,windows,current,ping-pong,2,16,8192,67108864,146.682,436.318,296.875,4750.000,8265728,NA,528,889,true
confirmation,windows,current,ping-pong,3,16,8192,67108864,148.300,431.556,312.500,5000.000,8830976,NA,539,1165,true
confirmation,windows,current,ping-pong,4,16,8192,67108864,142.443,449.304,468.750,7500.000,8765440,NA,516,948,true
confirmation,windows,current,ping-pong,5,16,8192,67108864,140.794,454.565,328.125,5250.000,8376320,NA,512,1013,true
confirmation,windows,tuned-64k,ping-pong,1,16,8192,67108864,147.519,433.842,421.875,6750.000,10084352,NA,526,1086,true
confirmation,windows,tuned-64k,ping-pong,2,16,8192,67108864,154.503,414.230,250.000,4000.000,10059776,NA,454,1364,true
confirmation,windows,tuned-64k,ping-pong,3,16,8192,67108864,152.449,419.813,203.125,3250.000,10129408,NA,527,1357,true
confirmation,windows,tuned-64k,ping-pong,4,16,8192,67108864,131.599,486.326,421.875,6750.000,10199040,NA,483,777,true
confirmation,windows,tuned-64k,ping-pong,5,16,8192,67108864,124.966,512.140,359.375,5750.000,10055680,NA,462,687,true
