# Phase 2 manifest-boundary bootstrap ledger. Schema: crate<TAB>kind<TAB>construct.
running-process	native_dependency	interprocess
running-process	native_dependency	libc
running-process	native_dependency	portable-pty
running-process	native_dependency	winapi
running-process	native_dependency	winapi
running-process	native_dependency	windows-sys
running-process	target_dependency_table	target
running-process	target_dependency_table	target
running-process-probe	native_dependency	libc
running-process-probe	native_dependency	libc
running-process-probe	native_dependency	libc
running-process-probe	native_dependency	mach2
running-process-probe	native_dependency	winapi
running-process-probe	native_dependency	windows-sys
running-process-probe	target_dependency_table	target
running-process-probe	target_dependency_table	target
running-process-probe	target_dependency_table	target
running-process-probe-daemon	native_dependency	interprocess
running-process-probe-daemon	native_dependency	libc
running-process-probe-daemon	target_dependency_table	target
running-process-probe-worker	target_dependency_table	target
running-process-probe-worker	target_dependency_table	target
running-process-py	native_dependency	interprocess
running-process-py	native_dependency	libc
running-process-py	native_dependency	winapi
test-watchdog	native_dependency	libc
test-watchdog	target_dependency_table	target
